"★1～3育成リソース表","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","先鋒","バニラ","13947","16400","10000","80093","99000","104040","115400","","","","1","","","","","1","","2","","","1","","","","1","","","",""
"3","先鋒","フェン","13947","16400","10000","80093","99000","104040","115400","2","","","","","","","","2","1","","","","","","","1","2","","","",""
"3","先鋒","プリュム","13947","16400","10000","80093","99000","104040","115400","","1","","","","","2","","","2","","","","1","","","","1","","","",""
"3","前衛","ポプカル","13947","16400","10000","80093","99000","104040","115400","","","","1","","","","","1","","2","","","","","","","","2","","","2"
"3","前衛","ミッドナイト","13947","16400","10000","80093","99000","104040","115400","","","","","1","","","1","","","","1","","","","","","","","1","1",""
"3","前衛","メランサ","13947","16400","10000","80093","99000","104040","115400","","","1","","","","","","","","1","2","","1","","","","","","","","2"
"3","重装","カーディ","13947","16400","10000","80093","99000","104040","115400","","","","","1","","","1","","","","1","","","","","","","2","","","2"
"3","重装","スポット","13947","16400","10000","80093","99000","104040","115400","","","","","","1","3","1","","","","","2","","","","","","","","1",""
"3","重装","ビーグル","13947","16400","10000","80093","99000","104040","115400","","","","","","1","3","1","","","","","","","","","","","1","1","",""
"3","狙撃","アドナキエル","13947","16400","10000","80093","99000","104040","115400","2","","","","","","","","2","1","","","2","","","","","","","","1",""
"3","狙撃","カタパルト","13947","16400","10000","80093","99000","104040","115400","","","1","","","","","","","","1","2","","","","","","","1","1","",""
"3","狙撃","クルース","13947","16400","10000","80093","99000","104040","115400","","1","","","","","2","","","2","","","","","","","","","","1","1",""
"3","術師","スチュワード","13947","16400","10000","80093","99000","104040","115400","","","","","","1","3","1","","","","","","","","","1","2","","","",""
"3","術師","ラヴァ","13947","16400","10000","80093","99000","104040","115400","","","","1","","","","","1","","2","","2","","","2","","","","","",""
"3","医療","アンセル","13947","16400","10000","80093","99000","104040","115400","","","","","1","","","1","","","","1","","","2","","2","","","","",""
"3","医療","ハイビスカス","13947","16400","10000","80093","99000","104040","115400","","","1","","","","","","","","1","2","","","2","2","","","","","",""
"3","補助","オーキッド","13947","16400","10000","80093","99000","104040","115400","2","","","","","","","","2","1","","","","1","","","","","","","","2"
"★3","(小計)","★3","237099","278800","170000","1361581","1683000","1768680","1961800","6","2","3","3","3","3","13","6","9","7","9","9","6","4","4","4","4","6","6","4","4","8"
"2","先鋒","ヤトウ","6043","9800","-","-","-","6043","9800","","","","","","","","","","","","","","","","","","","","","",""
"2","重装","ノイルホーン","6043","9800","-","-","-","6043","9800","","","","","","","","","","","","","","","","","","","","","",""
"2","狙撃","レンジャー","6043","9800","-","-","-","6043","9800","","","","","","","","","","","","","","","","","","","","","",""
"2","術師","12F","6043","9800","-","-","-","6043","9800","","","","","","","","","","","","","","","","","","","","","",""
"2","術師","ドゥリン","6043","9800","-","-","-","6043","9800","","","","","","","","","","","","","","","","","","","","","",""
"★2","(小計)","★2","30215","49000","0","0","0","30215","49000","","","","","","","","","","","","","","","","","","","","","",""
"1","前衛","Castle-3","6043","9800","-","-","-","6043","9800","","","","","","","","","","","","","","","","","","","","","",""
"1","狙撃","ジャスティスナイト","6043","9800","-","-","-","6043","9800","","","","","","","","","","","","","","","","","","","","","",""
"1","医療","Lancet-2","6043","9800","-","-","-","6043","9800","","","","","","","","","","","","","","","","","","","","","",""
"1","特殊","THRM-EX","6043","9800","-","-","-","6043","9800","","","","","","","","","","","","","","","","","","","","","",""
"★1","(小計)","★1","24172","39200","0","0","0","24172","39200","","","","","","","","","","","","","","","","","","","","","",""
