"素材名","レシピ","個数","下位レシピ","個数","合計","要求数","ステージ(左から順位順):ペンギン急便データ統計処理部","","","",""
"","","","RMA70-12","1","RMA70-12","2","Sun Sep 18 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","RI-8","R8-9","Sat Jul 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","WD-8"
"融合剤","上級源岩","1","中級源岩","4","中級源岩","4","Wed Oct 05 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Tue Jul 05 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Jun 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","SV-7","Mon Sep 12 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","上級異鉄","1","中級異鉄","2","中級異鉄","2","Mon Oct 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Jul 17 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","S4-1","Thu Jun 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed May 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","中級装置","1","中級装置","1","Thu Jul 14 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon May 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","M8-8","Fri Sep 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Jun 15 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","中級エステル","1","中級エステル","1","Sun Jul 03 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","RI-9","Mon May 02 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","WD-6","Mon Mar 07 2022 10:00:00 GMT-0500 (アメリカ東部標準時)"
"","上級アケトン","1","中級アケトン","2","中級アケトン","2","Mon Oct 03 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","JT8-3","Mon Feb 28 2022 10:00:00 GMT-0500 (アメリカ東部標準時)","S9-1","Wed Jul 13 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","中級糖原","1","中級糖原","1","M8-7","OF-F3","DM-6","Mon Jul 11 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Sep 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","マンガン","1","マンガン","1","10-16","10-7","7-16","3-2","OF-F4"
"結晶制御装置","結晶装置","1","素子結晶","2","素子結晶","2","Tue Sep 13 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","R8-11","S5-9","S3-7","SV-8"
"","","","人工ゲル","1","人工ゲル","3","Sun Oct 02 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","JT8-2","S4-10","Thu Jul 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","S5-7"
"","","","熾合金","1","熾合金","4","Thu Oct 13 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","TW-6","S3-6","Thu Oct 13 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Jun 11 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","融合ゲル","2","中級異鉄","1","中級異鉄","2","Mon Oct 10 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Jul 17 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","S4-1","Thu Jun 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed May 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","人工ゲル","1","中級装置","1","Thu Jul 14 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon May 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","M8-8","Fri Sep 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Jun 15 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","熾合金","1","砥石","1","Tue Oct 11 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Thu Sep 15 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Thu Apr 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Fri May 06 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Wed Mar 02 2022 10:00:00 GMT-0500 (アメリカ東部標準時)"
"","上級熾合金","1","中級装置","1","","","","","","",""
"","","","砥石","1","","","","","","",""
"","","","熾合金","1","","","","","","",""
"焼結核凝晶","上級転質塩","1","転質塩","1","転質塩","1","","","","",""
"","","","半自然溶剤","1","半自然溶剤","3","Sat Sep 17 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Sep 03 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Tue Oct 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","JT8-2","Tue Oct 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","中級糖原","1","中級糖原","1","M8-7","OF-F3","DM-6","Mon Jul 11 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sun Sep 04 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","上級切削液","1","切削液","1","切削液","3","Sun Oct 16 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Mon Sep 05 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat May 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Fri Oct 14 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","Sat Jul 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)"
"","","","素子結晶","1","素子結晶","1","Tue Sep 13 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","R8-11","S5-9","S3-7","SV-8"
"","","","RMA70-12","1","RMA70-12","1","Sun Sep 18 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","RI-8","R8-9","Sat Jul 09 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","WD-8"
"","精錬溶剤","2","半自然溶剤","1","人工ゲル","2","Sun Oct 02 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","JT8-2","S4-10","Thu Jul 07 2022 11:00:00 GMT-0400 (アメリカ東部夏時間)","S5-7"
"","","","切削液","1","","","","","","",""
"","","","人工ゲル","1","","","","","","",""
"","","","","","","","","","","",""
"","上級合成コール","","","","","","","","","",""
"","合成コール","","","","","","","","","",""
"","上級マンガン","","","","","","","","","",""
"","マンガン","","","","","","","","","",""
"","上級砥石","","","","","","","","","",""
"","砥石","","","","","","","","","",""
"","RMA70-24","","","","","","","","","",""
"","RMA70-12","","","","","","","","","",""
"","融合ゲル","","","","","","","","","",""
"","人工ゲル","","","","","","","","","",""
"","上級熾合金","","","","","","","","","",""
"","熾合金","","","","","","","","","",""
"","結晶回路","","","","","","","","","",""
"","素子結晶","","","","","","","","","",""
"","上級源岩","","","","","","","","","",""
"","中級源岩","","","","","","","","","",""
"","初級源岩","","","","","","","","","",""
"","源岩鉱","","","","","","","","","",""
"","上級装置","","","","","","","","","",""
"","中級装置","","","","","","","","","",""
"","初級装置","","","","","","","","","",""
"","破損装置","","","","","","","","","",""
"","上級エステル","","","","","","","","","",""
"","中級エステル","","","","","","","","","",""
"","初級エステル","","","","","","","","","",""
"","エステル原料","","","","","","","","","",""
"","上級糖原","","","","","","","","","",""
"","中級糖原","","","","","","","","","",""
"","初級糖原","","","","","","","","","",""
"","ブドウ糖","","","","","","","","","",""
"","上級異鉄","","","","","","","","","",""
"","中級異鉄","","","","","","","","","",""
"","初級異鉄","","","","","","","","","",""
"","異鉄の欠片","","","","","","","","","",""
"","上級アケトン","","","","","","","","","",""
"","中級アケトン","","","","","","","","","",""
"","初級アケトン","","","","","","","","","",""
"","アケトン試剤","","","","","","","","","",""
"","精錬溶剤","","","","","","","","","",""
"","半自然溶剤","","","","","","","","","",""
"","上級切削液","","","","","","","","","",""
"","切削液","","","","","","","","","",""
"","転質塩","","","","","","","","","",""
"","上級転質塩","","","","","","","","","",""
