"人工ゲル †","","","","総要求数一覧","","","","","","","","昇進","スキル","特化","合計"
"6","特殊","ファントム","","","4","","4","","8","","","","","",""
"6","特殊","ミヅキ","","","","","","4","4","","","","","",""
"6","特殊","帰溟スペクター","","","","","","3","3","","","","","",""
"6","特殊","キリンRヤトウ","","","","","8","","8","","","","","",""
"6","(小計)","★6","0","0","62","26","40","25","153","","","","","",""
"5","先鋒","ワイルドメイン","","","2","","","","2","","","","","",""
"5","先鋒","ブラックナイト","","","","2","","","2","","","","","",""
"5","先鋒","カンタービレ","","","","2","","","2","","","","","",""
"5","前衛","Tachanka","","12","4","","1","","17","","","","","",""
"5","前衛","アーミヤ(前衛)","","","","4","4","","8","","","","","",""
"5","前衛","ウィスラッシュ","","12","","","","","12","","","","","",""
"5","前衛","エアースカーペ","","12","","","","","12","","","","","",""
"5","前衛","シデロカ","","","","","2","","2","","","","","",""
"5","前衛","ラ・プルマ","","","","2","","","2","","","","","",""
"5","前衛","テキーラ","","","3","","","","3","","","","","",""
"5","重装","ヘビーレイン","","","3","","","","3","","","","","",""
"5","重装","アッシュロック","","","","1","","","1","","","","","",""
"5","重装","オーロラ","","","4","","","","4","","","","","",""
"5","重装","シャレム","","11","3","","","","14","","","","","",""
"5","重装","ツェルニー","","","","","1","","1","","","","","",""
"5","重装","ファイヤーホイッスル","","13","","","","","13","","","","","",""
"5","狙撃","アンドレアナ","","","","","2","","2","","","","","",""
"5","狙撃","シェーシャ","","","","2","","","2","","","","","",""
"5","狙撃","エラト","","","3","","","","3","","","","","",""
"5","狙撃","ルナカブ","","","","","3","","3","","","","","",""
"5","術師","トミミ","","","3","","","","3","","","","","",""
"5","術師","ビーズワクス","","","3","","","","3","","","","","",""
"5","術師","ミント","","","3","","","","3","","","","","",""
"5","術師","レイズ","","13","7","","","","20","","","","","",""
"5","術師","コロセラム","","","3","","","","3","","","","","",""
"5","術師","ロックロック","","","2","","","","2","","","","","",""
"5","術師","アステジーニ","","10","3","","","","13","","","","","",""
"5","術師","ハーモニー","","","","","4","","4","","","","","",""
"5","医療","ウィスパーレイン","","","3","","","","3","","","","","",""
"5","医療","トゥイエ","","","","2","","","2","","","","","",""
"5","医療","フォリニック","","","4","","","","4","","","","","",""
"5","医療","濯塵ハイビスカス","","","4","","","","4","","","","","",""
"5","補助","ツキノギ","","","3","2","","","5","","","","","",""
"5","補助","九色鹿","","","","","1","","1","","","","","",""
"5","補助","ウインドフリット","","","","","2","","2","","","","","",""
"5","特殊","Frost","","","3","","2","","5","","","","","",""
"5","特殊","ウユウ","","","3","","","","3","","","","","",""
"5","特殊","スノーズント","","","3","","","","3","","","","","",""
"5","特殊","ロビン","","","","1","","","1","","","","","",""
"5","特殊","キララ","","","","1","","","1","","","","","",""
"5","特殊","エンフォーサー","","","","1","","","1","","","","","",""
"5","(小計)","★5","0","83","69","20","22","0","194","","","","","",""
"4","先鋒","ビーンストーク","","13","","","","","13","","","","","",""
"4","前衛","アレーン","","","","","3","","3","","","","","",""
"4","前衛","カッター","","12","","3","","","15","","","","","",""
"4","前衛","コンビクション","","9","","","","","9","","","","","",""
"4","前衛","羅小黒","","","2","","","","2","","","","","",""
"4","前衛","クォーツ","","","","3","","","3","","","","","",""
"4","重装","バブル","","16","","","","","16","","","","","",""
"4","狙撃","アシッドドロップ","","","2","","","","2","","","","","",""
"4","狙撃","アンブリエル","","","2","","","","2","","","","","",""
"4","狙撃","トター","","6","","","","","6","","","","","",""
"4","術師","カシャ","","","2","","3","","5","","","","","",""
"4","術師","プリン","","","","","4","","4","","","","","",""
"4","医療","セイリュウ","","9","","","","","9","","","","","",""
"4","(小計)","★4","0","65","8","6","10","0","89","","","","","",""
